PersonID,OTAZ,DTAZ,Taxi Cost,TaxiTime(s)
30004031,377,425,10.10428047,525.52
30004031,425,377,10.10428047,525.52
30007491,1607,1607,8.22315554,380.72
30007491,1607,1607,8.22315554,380.72
30007492,1607,12,64.41416165,3994.3
30007492,12,1607,64.41416165,3994.3
30010591,873,839,10.14504673,571.52
30010591,839,873,10.14504673,571.52
30010591,873,967,10.79507997,609.04
30010591,967,873,10.79507997,609.04
30011811,242,245,4.959132528,53.93
30011811,245,242,4.959132528,53.93
30011811,242,236,5.711174219,111.88
30011811,236,242,5.711174219,111.88
30011901,1082,1081,5.979217045,460.79
30011901,1081,182,24.9432625,1754.7
30011901,182,1076,24.93336477,1568.9
30011901,1076,1083,5.424263849,136.28
30011901,1083,1082,5.416840554,135.37
30012931,1082,9,11.05736974,854.86
30012931,9,1091,13.6511929,969.76
30012931,1091,1082,7.93154375,307.51
30012932,1082,845,54.83316165,3328.6
30012932,845,1082,54.83316165,3328.6
30012932,1082,1082,5.465958026,141.39
30016701,915,915,5.937213565,378.74
30016701,915,913,5.922119531,377.26
30016701,913,983,6.591515199,1720.8
30016701,983,915,6.766024503,1946.5
30016701,915,915,5.937213565,378.74
30016702,915,915,5.937213565,378.74
30016702,915,915,5.937213565,378.74
30016702,915,913,5.922119531,377.26
30016702,913,913,5.428099219,116.63
30016702,913,915,5.922119531,377.26
30016702,915,915,5.937213565,378.74
30016761,1604,1580,17.2595331,4968
30016761,1580,1596,19.33063253,9309.8
30016761,1596,1590,10.36626094,4732.1
30016761,1590,1604,9.431853622,501.66
30016762,1604,1228,34.80696634,2226.4
30016762,1228,1589,28.35674119,1588.5
30016762,1589,1603,9.083762926,467.56
30016762,1603,1604,7.005487642,263.94
30016762,1604,1551,18.32663182,1368.6
30016762,1551,1604,18.32663182,1368.6
30020682,1237,1081,13.0678456,799.67
30020682,1081,1237,13.0678456,799.67
30020801,1278,1288,6.771777557,241.04
30020801,1288,1278,6.771777557,241.04
30021671,53,755,27.16901392,1685.5
30021671,755,1597,86.67291307,5403.7
30021671,1597,1606,8.533696733,413.66
30021671,1606,53,59.8377,4034.8
30022961,1608,1600,11.92403949,764.26
30022961,1600,1608,11.92403949,764.26
30024451,130,94,6.54648054,210.21
30024451,94,130,6.54648054,210.21
30024451,130,130,5.253589915,92.306
30024971,185,17,17.88123409,1329.4
30024971,17,11,6.38706527,426.29
30024971,11,17,6.38706527,426.29
30024971,17,185,17.88123409,1329.4
30024972,185,97,10.22107365,578.97
30024972,97,112,7.179130895,280.95
30024972,112,112,4.892916733,56.966
30024972,112,112,4.892916733,56.966
30024972,112,185,7.355929048,298.27
30025651,370,370,5.622032813,127.2
30025651,370,370,5.622032813,127.2
30025651,370,370,5.622032813,127.2
30025651,370,370,5.622032813,127.2
30030431,828,157,27.50120639,1374.6
30030431,157,828,27.50120639,1374.6
30031661,131,6,15.50763537,1096.9
30031661,6,83,19.51374048,1132.2
30031661,83,117,6.691420384,233.17
30031661,117,131,8.324174219,393.13
30033381,1335,1339,8.117187997,845.07
30033381,1339,1335,8.117187997,845.07
30033383,1335,1339,8.117187997,845.07
30033383,1339,1335,8.117187997,845.07
30033731,187,186,5.398777202,106.53
30033731,186,186,5.202059872,87.253
30033731,186,186,5.202059872,87.253
30033731,186,187,5.398777202,106.53
30033731,187,187,5.31000696,97.827
30033941,23,260,28.26456861,1694.6
30033941,260,157,13.15321349,733.7
30033941,157,313,9.137025071,333.06
30033941,313,110,7.61506392,323.66
30033941,110,313,7.61506392,323.66
30033941,313,23,16.70278594,867.38
30034001,911,911,5.436883452,110.25
30034001,911,911,5.436883452,110.25
30034001,911,914,7.232764205,219.1
30034001,914,911,7.232764205,219.1
30034001,911,915,7.472165483,530.6
30034001,915,911,7.472165483,530.6
30034001,911,908,5.763879616,115.32
30034001,908,911,5.763879616,115.32
30034001,911,916,8.492559304,331.8
30034001,916,911,8.492559304,331.8
30034001,911,914,7.232764205,219.1
30034001,914,911,7.232764205,219.1
30034002,911,914,7.232764205,219.1
30034002,914,911,7.232764205,219.1
30034003,911,911,5.436883452,110.25
30034003,911,911,5.436883452,110.25
30034004,911,930,9.356878338,343.84
30034004,930,911,9.356878338,343.84
30037781,1568,1539,17.22674688,1293.4
30037781,1539,1568,17.22674688,1293.4
30037781,1568,1566,7.529943466,315.32
30037781,1566,1568,7.529943466,315.32
30037782,1568,1551,9.175873651,472.14
30037782,1551,1568,9.175873651,472.14
30037782,1568,1539,17.22674688,1293.4
30037782,1539,1568,17.22674688,1293.4
30037782,1568,1566,7.529943466,315.32
30037782,1566,1568,7.529943466,315.32
30038351,1295,13,29.58034773,2035.7
30038351,13,1295,29.58034773,2035.7
30038351,1295,1316,10.50309702,921.25
30038351,1316,1295,10.50309702,921.25
30038352,1295,14,30.42351037,2121.2
30038352,14,1295,30.42351037,2121.2
30038352,1295,1316,10.50309702,921.25
30038352,1316,1295,10.50309702,921.25
30038353,1295,1302,5.985650568,507.31
30038353,1302,1295,5.985650568,507.31
30041032,1075,23,13.48231293,790.92
30041032,23,1075,13.48231293,790.92
30042051,492,102,44.95770426,2425.1
